POSITION HOLDER,NAME OF THE ISSUER,ISIN,NET SHORT POSITION,"DATE POSITION WAS CREATED, CHANGED OR CANCELLED"
"Axial Capital Management, LLC",TUI TRAVEL PLC,GB00B1Z7RQ77,0.49%,2012-12-18
Blau GmBH,TUI Travel Plc,GB00B1Z7RQ77,0.55%,2012-12-21
Blau GmBH,TUI Travel Plc,GB00B1Z7RQ77,0.60%,2012-12-24
Blau GmBH,TUI Travel Plc,GB00B1Z7RQ77,0.70%,2013-01-15
Blau GmBH,TUI Travel Plc,GB00B1Z7RQ77,0.89%,2013-01-16
Blau GmBH,TUI Travel Plc,GB00B1Z7RQ77,0.95%,2013-01-17
Blau GmBH,TUI Travel Plc,GB00B1Z7RQ77,1.02%,2013-01-18
Blau GmBH,TUI Travel Plc,GB00B1Z7RQ77,0.54%,2013-01-30
Blau GmBH,TUI Travel Plc,GB00B1Z7RQ77,0.39%,2013-02-05
BNP PARIBAS SA ,TUI TRAVEL PLC,GB00B1Z7RQ77,0.52%,2012-12-03
BNP PARIBAS SA ,TUI TRAVEL PLC,GB00B1Z7RQ77,0.61%,2013-01-02
BNP PARIBAS SA ,TUI TRAVEL PLC,GB00B1Z7RQ77,0.71%,2013-01-11
BNP PARIBAS SA ,TUI TRAVEL PLC,GB00B1Z7RQ77,0.85%,2013-01-29
BNP PARIBAS SA ,TUI TRAVEL PLC,GB00B1Z7RQ77,0.93%,2013-02-07
"Castle Creek Arbitrage, LLC",TUI Travel PLC,GB00B1Z7RQ77,0.50%,2013-01-02
"D. E. Shaw & Co. (U.K.), Ltd.",TUI Travel PLC,GB00B1Z7RQ77,0.52%,2012-11-01
"D. E. Shaw & Co. (U.K.), Ltd.",TUI Travel PLC,GB00B1Z7RQ77,0.66%,2012-11-20
"D. E. Shaw & Co. (U.K.), Ltd.",TUI Travel PLC,GB00B1Z7RQ77,0.70%,2012-11-22
"D. E. Shaw & Co. (U.K.), Ltd.",TUI Travel PLC,GB00B1Z7RQ77,0.92%,2012-12-05
"D. E. Shaw & Co. (U.K.), Ltd.",TUI Travel PLC,GB00B1Z7RQ77,1.02%,2012-12-20
"D. E. Shaw & Co. (U.K.), Ltd.",TUI Travel PLC,GB00B1Z7RQ77,0.95%,2013-01-16
"D. E. Shaw & Co. (U.K.), Ltd.",TUI Travel PLC,GB00B1Z7RQ77,1.10%,2013-01-31
"D. E. Shaw & Co. (U.K.), Ltd.",TUI Travel PLC,GB00B1Z7RQ77,1.21%,2013-02-04
"D. E. Shaw & Co. (U.K.), Ltd.",TUI Travel PLC,GB00B1Z7RQ77,1.35%,2013-02-08
"D. E. Shaw & Co. (U.K.), Ltd.",TUI Travel PLC,GB00B1Z7RQ77,1.29%,2013-02-13
"Morton Holdings, Inc.",Tui Travel Plc,GB00B1Z7RQ77,0.88%,2012-11-01
Lansdowne Partners Limited,Tullow Oil PLC,GB0001500809,1.33%,2012-11-01
Lansdowne Partners Limited,Tullow Oil PLC,GB0001500809,1.41%,2013-01-02
Lansdowne Partners Limited,Tullow Oil PLC,GB0001500809,1.55%,2013-01-09
Lansdowne Partners Limited,Tullow Oil PLC,GB0001500809,1.78%,2013-01-11
"AQR Capital Management, LLC",Vedanta Resources PLC,GB0033277061,0.80%,2012-11-01
"AQR Capital Management, LLC",Vedanta Resources PLC,GB0033277061,0.69%,2012-12-24
"AQR Capital Management, LLC",Vedanta Resources PLC,GB0033277061,0.59%,2013-01-22
BlackRock Investment Management (UK) Limited,Vedanta Resources Plc,GB0033277061,0.63%,2012-11-01
BlackRock Investment Management (UK) Limited,Vedanta Resources Plc,GB0033277061,0.54%,2012-11-12
Highbridge Capital Management LLC,VESUVIUS PLC,GB00B82YXW83,0.50%,2013-01-08
Highbridge Capital Management LLC,VESUVIUS PLC,GB00B82YXW83,0.48%,2013-01-11
AKO Capital LLP for AKO Master Fund Limited,VICTREX PLC,GB0009292243,2.00%,2012-11-01
AKO Capital LLP for AKO Master Fund Limited,VICTREX PLC,GB0009292243,1.90%,2012-11-21
AKO Capital LLP for AKO Master Fund Limited,VICTREX PLC,GB0009292243,1.74%,2012-11-22
AKO Capital LLP for AKO Master Fund Limited,VICTREX PLC,GB0009292243,1.67%,2013-01-03
AKO Capital LLP for AKO Master Fund Limited,VICTREX PLC,GB0009292243,1.79%,2013-02-05
BlackRock Investment Management (UK) Limited,Volex plc,GB0009390070,1.90%,2012-11-01
"AQR Capital Management, LLC",Weir Group PLC,GB0009465807,1.10%,2012-11-01
"AQR Capital Management, LLC",Weir Group PLC,GB0009465807,1.09%,2013-01-11
Blue Ridge Capital L.L.C,Weir Group PLC,GB0009465807,3.13%,2012-11-01
"Coatue Management, L.L.C.",Weir Group Plc,GB0009465807,0.99%,2012-11-01
Highbridge Capital Management LLC,Weir Group PLC,GB0009465807,0.79%,2012-11-01
Highbridge Capital Management LLC,Weir Group PLC,GB0009465807,0.86%,2012-11-05
Highbridge Capital Management LLC,Weir Group PLC,GB0009465807,0.79%,2012-11-14
Highbridge Capital Management LLC,Weir Group Plc,GB0009465807,0.69%,2012-11-20
Highbridge Capital Management LLC,Weir Group Plc,GB0009465807,0.59%,2012-12-03
Highbridge Capital Management LLC,Weir Group Plc,GB0009465807,0.46%,2012-12-06
Lansdowne Partners Limited,Weir Group PLC,GB0009465807,3.42%,2012-11-01
Merchants' Gate Capital LP,Weir Group PLC,GB0009465807,0.86%,2012-11-01
Merchants' Gate Capital LP,Weir Group PLC,GB0009465807,0.90%,2012-11-05
Merchants' Gate Capital LP,Weir Group PLC,GB0009465807,0.89%,2013-01-17
Merchants' Gate Capital LP,Weir Group PLC,GB0009465807,0.91%,2013-02-08
"Morton Holdings, Inc.",Weir Group Plc,GB0009465807,1.11%,2012-11-01
"Morton Holdings, Inc.",Weir Group Plc,GB0009465807,1.06%,2013-01-04
"Morton Holdings, Inc.",Weir Group Plc,GB0009465807,0.00%,2013-02-06
"Samlyn Capital, LLC",Weir Group PLC,GB0009465807,0.62%,2012-10-31
Slate Path Master Fund LP,Weir Group PLC,GB0009465807,0.63%,2012-11-05
Steadfast Capital Management LP,Weir Group PLC,GB0009465807,1.95%,2012-11-01
Steadfast Capital Management LP,Weir Group PLC,GB0009465807,2.02%,2012-12-31
"ZBI Equities, L.L.C.",Weir Group Plc,GB0009465807,1.02%,2013-02-06
Cazenove Capital Management Limited,WETHERSPOON (J.D) ,GB0001638955,1.08%,2012-11-01
"Eminence Capital, LLC",WH Smith Plc,GB00B2PDGW16,1.14%,2013-01-16
"Eminence Capital, LLC",WH Smith Plc,GB00B2PDGW16,1.30%,2013-01-17
"Eminence Capital, LLC",WH Smith Plc,GB00B2PDGW16,1.56%,2013-01-18
"Eminence Capital, LLC",WH Smith Plc,GB00B2PDGW16,1.91%,2013-01-21
Fest N.V.,WH Smith Plc,GB00B2PDGW16,2.63%,2012-11-01
Fest N.V.,WH Smith Plc,GB00B2PDGW16,2.73%,2012-11-05
Fest N.V.,WH Smith Plc,GB00B2PDGW16,2.84%,2013-01-21
Fest N.V.,WH Smith Plc,GB00B2PDGW16,3.15%,2013-01-22
Fest N.V.,WH Smith Plc,GB00B2PDGW16,3.36%,2013-01-23
Fest N.V.,WH Smith Plc,GB00B2PDGW16,3.52%,2013-01-24
Fest N.V.,WH Smith Plc,GB00B2PDGW16,3.84%,2013-01-25
Fest N.V.,WH Smith Plc,GB00B2PDGW16,3.91%,2013-01-28
Lansdowne Partners Limited,WH Smith PLC,GB00B2PDGW16,2.73%,2012-11-01
Lone Pine Capital LLC,WH SMITH PLC,GB00B2PDGW16,0.75%,2013-01-15
Lone Pine Capital LLC,WH SMITH PLC,GB00B2PDGW16,0.95%,2013-01-18
"Luxor Capital Group, LP",WH Smith Plc,GB00B2PDGW16,1.32%,2012-11-01
"Luxor Capital Group, LP",WH Smith Plc,GB00B2PDGW16,1.22%,2012-11-05
"Luxor Capital Group, LP",WH Smith Plc,GB00B2PDGW16,1.14%,2012-12-28
Merchants' Gate Capital LP,WH Smith PLC,GB00B2PDGW16,0.57%,2013-01-25
Merchants' Gate Capital LP,WH Smith PLC,GB00B2PDGW16,0.64%,2013-01-28
Merchants' Gate Capital LP,WH Smith PLC,GB00B2PDGW16,0.77%,2013-01-30
Merchants' Gate Capital LP,WH Smith PLC,GB00B2PDGW16,0.85%,2013-01-31
Merchants' Gate Capital LP,WH Smith PLC,GB00B2PDGW16,0.92%,2013-02-13
Merchants' Gate Capital LP,WH Smith PLC,GB00B2PDGW16,1.07%,2013-02-14
Meritage Group LP,WH Smith PLC,GB00B2PDGW16,0.93%,2012-11-01
Polar Capital LLP,WH Smith PLC,GB00B2PDGW16,0.58%,2012-11-01
"Morton Holdings, Inc.",William Hill Plc,GB0031698896,0.84%,2012-11-01
Pennant Capital Management LLC,William Hill PLC,GB0031698896,0.98%,2012-02-11
BlackRock Investment Management (UK) Limited,Wilmington Group plc,GB0009692319,0.83%,2012-11-01
BlackRock Investment Management (UK) Limited,WILMINGTON GROUP PLC,GB0009692319,0.97%,2013-02-15
Lansdowne Partners Limited,WM Morrison Supermarkets PLC,GB0006043169,2.51%,2012-11-01
Lansdowne Partners Limited,WM Morrison Supermarkets PLC,GB0006043169,2.69%,2013-01-30
Lansdowne Partners Limited,WM Morrison Supermarkets PLC,GB0006043169,2.74%,2013-01-31
Lansdowne Partners Limited,WM Morrison Supermarkets PLC,GB0006043169,2.81%,2013-02-01
Lone Pine Capital LLC,WM Morrison Supermarkets PLC,GB0006043169,0.60%,2013-01-30
Lone Pine Capital LLC,WM Morrison Supermarkets PLC,GB0006043169,0.77%,2013-02-05
Lone Pine Capital LLC,WM Morrison Supermarkets PLC,GB0006043169,0.83%,2013-02-06
Lone Pine Capital LLC,WM Morrison Supermarkets PLC,GB0006043169,0.91%,2013-02-07
Meditor Capital Management Limited,WM Morrison Supermarkets PLC,GB0006043169,0.52%,2012-12-12
Meditor Capital Management Limited,WM Morrison Supermarkets PLC,GB0006043169,0.63%,2012-12-14
Meditor Capital Management Limited,WM Morrison Supermarkets PLC,GB0006043169,0.73%,2012-12-20
Meditor Capital Management Limited,WM Morrison Supermarkets PLC,GB0006043169,0.39%,2013-01-07
Parvus Asset Management (UK) LLP,Wolfson Microelectronics PLC,GB0033563130,1.29%,2012-11-01
"D. E. Shaw & Co. (U.K.), Ltd.",WPP PLC,JE00B3DMTY01,0.64%,2012-11-01
"D. E. Shaw & Co. (U.K.), Ltd.",WPP PLC,JE00B3DMTY01,0.72%,2013-01-11
"D. E. Shaw & Co. (U.K.), Ltd.",WPP PLC,JE00B3DMTY01,0.80%,2013-01-16
"D. E. Shaw & Co. (U.K.), Ltd.",WPP PLC,JE00B3DMTY01,0.91%,2013-01-17
"D. E. Shaw & Co. (U.K.), Ltd.",WPP PLC,JE00B3DMTY01,1.14%,2013-01-30
"D. E. Shaw & Co. (U.K.), Ltd.",WPP PLC,JE00B3DMTY01,1.23%,2013-02-13
Susquehanna International Holdings LLC,WPP PLC,JE00B3DMTY01,0.51%,2012-11-28
Susquehanna International Holdings LLC,WPP PLC,JE00B3DMTY01,0.50%,2012-12-12
Susquehanna International Holdings LLC,WPP PLC,JE00B3DMTY01,0.62%,2013-02-14
BlackRock Investment Management (UK) Limited,WS Atkins plc,GB0000608009,0.76%,2012-11-01
BlackRock Investment Management (UK) Limited,WS ATKINS PLC,GB0000608009,0.80%,2012-11-21
BlackRock Investment Management (UK) Limited,XP Power Ltd,SG9999003735,2.75%,2012-11-01
"Georgetown Asset Holdings, Ltd.",XP Power Ltd,SG9999003735,0.56%,2012-11-01
"Georgetown Asset Holdings, Ltd.",XP Power Ltd,SG9999003735,0.65%,2012-12-20
JPMorgan Asset Management (UK) Ltd,XP POWER LTD,SG9999003735,1.34%,2012-11-01
JPMorgan Asset Management (UK) Ltd,XP POWER LTD,SG9999003735,1.55%,2012-11-06
JPMorgan Asset Management (UK) Ltd,XP POWER LTD,SG9999003735,1.01%,2012-11-28
